title,author,year,type,volume,issue,pages,venue,venueShort,publisher,doi,url,abstract,keywords,citedBy,citedByPerYear,quality,objective,technology,data,participants,maturity,device
HCI Vision for Automated Analysis and Mining of Web User Interfaces,"Bakaev, Maxim; Heil, Sebastian; Khvorostov, Vladimir; Gaedke, Martin",2018,conferencePaper,,,136-144,Web Engineering,ICWE,Springer Nature,10.1007/978-3-319-91662-0_10,https://doi.org/10.1007/978-3-319-91662-0_10,"Most techniques for webpage structure and design mining are based on code analysis and are detached from a human user’s perception of the web user interface (WUI). Our paper is dedicated to approaches that instead focus on analysis of webpage’s visual representation – the way it is rendered in different browsers and environments and delivered to the end user. Specifically, we describe the software tool that we built, which takes a WUI screenshot and produces structured and machine-readable representation (JSON) of interface elements as made out by a human user. The implementation is based on OpenCV (image recognition functions), dlib (trained detector for the elements’ classification), and Tesseract (label and content text recognition). To demonstrate feasibility of the approach, we describe application of our analyzer tool to auto-calculate certain measures for a WUI and to predict users’ subjective impressions. Particularly, we assess UI visual complexity, which is known to significantly influence both cognitive and affective aspects of interaction. The results suggest the analyzer’s output is mostly characteristic of the users’ visual perception and can be useful for auto-assessing and comparing WUIs.",Web design mining; HCI vision; Image recognition; Human factors; Visual complexity,30,4.62,B,Visual complexity evaluation,"Deep learning, Computer vision",Images,no,tool,desktop
Which feature is unusable? Detecting usability and user experience issues from user reviews,"Bakiu, Elsa; Guzman, Emitza",2017,conferencePaper,,,182 – 187,"Proceedings - 2017 IEEE 25th International Requirements Engineering Conference Workshops, REW 2017",REW,IEEE,10.1109/REW.2017.76,https://doi.org/10.1109/REW.2017.76,"Usability and user experience (UUX) strongly affect software quality and success. User reviews allow software users to report UUX issues. However, this information can be difficult to access due to the varying quality of the reviews, its large numbers and unstructured nature. In this work we propose an approach to automatically detect the UUX strengths and issues of software features according to user reviews. We use a collocation algorithm for extracting the features, lexical sentiment analysis for uncovering users' satisfaction about a particular feature and machine learning for detecting the specific UUX issues affecting the software application. Additionally, we present two visualizations of the results. An initial evaluation of the approach against human judgement obtained mixed results. © 2017 IEEE.",Application programs; Computer software selection and evaluation; Data mining; Feature extraction; Learning systems; Natural language processing systems; Requirements engineering; Software Evolution; Text mining; Usability; User experience; User feedback,75,10,-,Feedback evaluation,"NLP, Machine learning",Text,yes,prototype,device independent
uxSense: Supporting User Experience Analysis with Visualization and Computer Vision,"Batch, Andrea; Ji, Yipeng; Fan, Mingming; Zhao, Jian; Elmqvist, Niklas",2024,journalArticle,30,7,3841-3856,IEEE Transactions on Visualization and Computer Graphics,,IEEE,10.1109/TVCG.2023.3241581,https://doi.org/10.1109/TVCG.2023.3241581,"Analyzing user behavior from usability evaluation can be a challenging and time-consuming task, especially as the number of participants and the scale and complexity of the evaluation grows. We propose uxSense, a visual analytics system using machine learning methods to extract user behavior from audio and video recordings as parallel time-stamped data streams. Our implementation draws on pattern recognition, computer vision, natural language processing, and machine learning to extract user sentiment, actions, posture, spoken words, and other features from such recordings. These streams are visualized as parallel timelines in a web-based front-end, enabling the researcher to search, filter, and annotate data across time and space. We present the results of a user study involving professional UX researchers evaluating user data using uxSense. In fact, we used uxSense itself to evaluate their sessions.",Annotations; computer vision; Data visualization; deep learning; evaluation; Feature extraction; Gaze tracking; machine learning; Measurement; Usability; video analytics; visual analytics; Visual analytics; Visualization,9,18,Q1,Research assistants,"NLP, Machine learning, Computer vision","User interactions, Audio, Video",yes,prototype,desktop
Detecting and Explaining Usability Issues of Consumer Electronic Products,"Benvenuti, Dario; Buda, Emanuele; Fraioli, Francesca; Marrella, Andrea; Catarci, Tiziana",2021,conferencePaper,,,298-319,Human-Computer Interaction – INTERACT 2021,INTERACT,Springer Nature,10.1007/978-3-030-85610-6_18,https://doi.org/10.1007/978-3-030-85610-6_18,"Usability of a consumer electronic product (CEP) is one of the most important factors that the users consider in purchasing a CEP as well as functionality, price, etc. This has led many companies to realize new shapes of user interfaces (UIs) and styles of interaction for CEPs, ranging from modern touchscreens to physical controls and displays of any kind. Even if the general feeling is that such increased interactivity may enhance the overall user experience, the side effect is that often a CEP’s UI provides too many functions that are difficult to learn and use without referring to the user manual, leading to many usability issues. In this paper, we leverage a case study in the CEPs sector to present a novel log-based evaluation technique in the field of Human-Computer Interaction (HCI). Our technique allows us not only to keep track of the user interactions with a CEP’s UI during its daily use, but also to understand what has gone wrong during a user interaction, detecting which user actions have caused usability issues and suggesting explanations for solving them, thus providing a crucial feedback to improve the design of the CEP’s UI next version.",Heuristic evaluation; Interaction model; Log study; Trace alignment; Usability of consumer electronic products (CEPs); User interface (UI) Log,3,0.86,B,Usability issue encounter detection,Rule-based systems,User interactions,yes,prototype,microwave
Enhancing Interface Design with AI: An Exploratory Study on a ChatGPT-4-Based Tool for Cognitive Walkthrough Inspired Evaluations,"Bisante, Alba; Datla, Venkata Srikanth Varma; Panizzi, Emanuele; Trasciatti, Gabriella; Zeppieri, Stefano",2024,conferencePaper,,,,Proceedings of the 2024 International Conference on Advanced Visual Interfaces,AVI,ACM,10.1145/3656650.3656676,https://doi.org/10.1145/3656650.3656676,"This paper introduces CWGPT, a ChatGPT-4-based tool designed for Cognitive Walkthrough (CW) inspired evaluations of web interfaces. The primary goal is to assist users, particularly students and inexperienced designers, in evaluating web interfaces. Our tool, operating as a conversational agent, provides detailed evaluations of a user-specified task by intelligently guessing the subtasks and actions required to accomplish them, answering the standard CW questions, and providing helpful feedback and practical suggestions to improve the usability of the analyzed interface. For our study, we selected a group of web applications designed by students from a Web and Software Architecture course. We compare the outcome of the CWs we executed on ten web apps against the corresponding CWGPT analyses. We then describe the study we conducted involving five author-students to assess the tool's efficacy in helping them recognize and solve usability issues. In addition to introducing a novel adaptation of ChatGPT, the outcomes of the described experience underscore the promising potential of AI in usability evaluations. © 2024 Owner/Author.",Application programs; ChatGPT; Cognitive walkthrough; Conversational agents; Exploratory studies; GPT; Interface designs; Students; Subtask; Usability engineering; WEB application; Web applications; Web interface,2,4,B,Research assistants,"LLM, ChatBot, Computer vision",Images,no,tool,desktop
Automatic usability and stress analysis in mobile biometrics,"Blanco-Gonzalo, Ramon; Sanchez-Reillo, Raul; Miguel-Hurtado, Oscar; Bella-Pulgarin, Eric",2014,journalArticle,32,12,1173 – 1180,Image and Vision Computing,,Elsevier,10.1016/j.imavis.2014.09.003,https://doi.org/10.1016/j.imavis.2014.09.003,"This article focuses on the usability evaluation of biometric recognition systems in mobile devices. In particular, a behavioural modality has been used: the dynamic handwritten signature. Testing usability in behavioural modalities involves a big challenge due to the number of degrees of freedom that users have in interacting with sensors, as well as the variety of capture devices to be used. In this context we propose a usability evaluation that allows users to interact freely with the system while minimizing errors at the same time. The participants signed in a smartphone with a stylus through the different phases in the use of a biometric system: training, enrolment and verification. In addition, a profound study on the automation of the evaluation processes has been done, so as to reduce the resources employed. The influence of the users' stress has also been studied, to obtain conclusions on its impact on both the usability systems in scenarios where the user may suffer a certain level of stress, such as in courts, banks or even shopping. In brief, the results shown in this paper prove not only that a dynamic handwritten signature is a trustable solution for a large number of applications in the real world, but also that the evaluation of the usability of biometric systems can be carried out at lower costs and shorter duration. © 2014 Elsevier B.V.",Biometric recognition system; Biometric systems; Biometrics; Character recognition; Degrees of freedom (mechanics); Handwritten signatures; Mobile biometrics; Mobile computing; Number of degrees of freedom; Real-world; Stress analysis; Stresses; Usability; Usability engineering; Usability evaluation; Well testing,25,2.38,Q1,Usability attribute evaluation,Descriptive metrics,User interactions,yes,prototype,mobile
Entropy and Compression Based Analysis of Web User Interfaces,"Boychuk, Egor; Bakaev, Maxim",2019,conferencePaper,,,253-261,Web Engineering,ICWE,Springer Nature,10.1007/978-3-030-19274-7_19,https://doi.org/10.1007/978-3-030-19274-7_19,"In our paper we explore whether user visual perception of web interfaces (WUI) can be predicted by certain quantitative characteristics of WUI screenshots. The considered metrics are JPEG file size, PNG file size, and information entropy value calculated with frequency-based MATLAB’s entropy(I) function. We ran survey with 70 subjects who provided subjective evaluations of complexity, aesthetics and orderliness for 497 website homepages. The results suggest that all the three metrics were significant, and the proposed regression models were considerably better than the respective baseline models that only used the popular JPEG-based metric. Remarkably, the entropy metric had significant positive correlations with aesthetic and orderliness evaluations, but not with the size of the image. We believe our findings might be used in development of automated WUI analysis tools to aid web engineers in their work.",Information entropy; Web interfaces; Cognitive models,20,3.64,B,Visual complexity evaluation,Descriptive metrics,Images,no,prototype,desktop
Visualizations of User’s Paths to Discover Usability Problems,"Buono, Paolo; Desolda, Giuseppe; Lanzilotti, Rosa; Costabile, Maria Francesca; Piccinno, Antonio",2019,conferencePaper,,,689–692,"Human-Computer Interaction – INTERACT 2019: 17th IFIP TC 13 International Conference, Paphos, Cyprus, September 2–6, 2019, Proceedings, Part IV",INTERACT,Springer Nature,10.1007/978-3-030-29390-1_64,https://doi.org/10.1007/978-3-030-29390-1_64,This paper reports on an on-going work that investigates the use of visualization techniques to help evaluators discovering usability problems by visualizing data collected during usability tests of web sites. Two visualization techniques are described and some results of the evaluation study that compared the two techniques are provided.,Usability test; Visualization techniques; Usability problems discovery; Web site evaluation,1,0.18,A,Usability attribute evaluation,Descriptive metrics,User interactions,yes,prototype,desktop
Towards the Detection of UX Smells: The Support of Visualizations,"Buono, Paolo; Caivano, Danilo; Costabile, Maria Francesca; Desolda, Giuseppe; Lanzilotti, Rosa",2020,journalArticle,8,,6901-6914,IEEE Access,,IEEE,10.1109/ACCESS.2019.2961768,https://doi.org/10.1109/ACCESS.2019.2961768,"Daily experiences in working with various types of computer systems show that, despite the offered functionalities, users have many difficulties, which affect their overall User eXperience (UX). The UX focus is on aesthetics, emotions and social involvement, but usability has a great influence on UX. Usability evaluation is acknowledged as a fundamental activity of the entire development process in software practices. Research in Human-Computer Interaction has proposed methods and tools to support usability evaluation. However, when performing an evaluation study, novice evaluators still have difficulties to identify usability problems and to understand their causes: they would need easier to use and possibly automated tools. This article describes four visualization techniques whose aim is to support the work of evaluators when performing usability tests to evaluate websites. Specifically, they help detect “usability smells”, i.e. hints on web pages that might present usability problems, by visualizing the paths followed by the test participants when navigating in a website to perform a test task. A user study with 15 participants compared the four techniques and revealed that the proposed visualizations have the potential to be valuable tools for novice usability evaluators. These first results should push researchers towards the development of further tools that are capable to support the detection of other types of UX smells in the evaluation of computer systems and that can be translated into common industry practices.",Usability; Task analysis; Testing; usability; User interfaces; Visualization; Tools; Web pages; Data visualization; design for quality; user eXperience; website evaluation,24,5.33,Q2,Usability attribute evaluation,Descriptive metrics,User interactions,yes,prototype,desktop
Testing the Usability and Accessibility of Smart TV Applications Using an Automated Model-Based Approach,"Bures, Miroslav; MacIk, Miroslav; Ahmed, Bestoun S.; Rechtberger, Vaclav; Slavik, Pavel",2020,journalArticle,66,2,134 – 143,IEEE Transactions on Consumer Electronics,,IEEE,10.1109/TCE.2020.2986049,https://doi.org/10.1109/TCE.2020.2986049,"As the popularity of Smart Televisions (TVs) and interactive Smart TV applications (apps) has recently grown, the usability of these apps has become an important quality characteristic. Previous studies examined Smart TV apps from a usability perspective. However, these methods are mainly manual, and the potential of automated model-based testing methods for usability testing purposes has not yet been fully explored. In this article, we propose an approach to test the usability of Smart TV apps based on the automated generation of a Smart TV user interaction model from an existing app by a specialized automated crawler. By means of this model, defined user tasks in the Smart TV app can be evaluated automatically in terms of their feasibility and estimated user effort, which reflects the usability of the analyzed app. This analysis can be applied in the context of regular users and users with various specific needs. The findings from this model-based automated analysis approach can be used to optimize the user interface of a Smart TV app to increase its usability, accessibility, and quality. © 1975-2011 IEEE.",Usability; Task analysis; Testing; User interfaces; Computational modeling; Usability engineering; Automation; Analytical models; Crawlers; model-based testing; Smart TV; smart TV application; Usability testing; user interface quality; Model-based OPC; Quality control; Model checking; Automated generation; Automated analysis; Automated modeling; Interactive television; Quality characteristic; Smart-TV; User Interaction Modeling,22,4.89,Q2,Usability attribute evaluation,Rule-based systems,"Source code, User interactions",yes,prototype,TV
Empirical validation of an automatic usability evaluation method,"Cassino, Rosanna; Tucci, Maurizio; Vitiello, Giuliana; Francese, Rita",2015,journalArticle,28,,1 – 22,Journal of Visual Languages and Computing,,Elsevier,10.1016/j.jvlc.2014.12.002,https://doi.org/10.1016/j.jvlc.2014.12.002,"Today, the success of a software application strongly depends on the usability of its interface, so the evaluation of interfaces has become a crucial aspect of software engineering. It is recognized that automatic tools for graphical user interface evaluation may greatly reduce the costs of traditional activities performed during expert evaluation or user testing in order to estimate the success probability of an application. However, automatic methods need to be empirically validated in order to prove their effectiveness with respect to the attributes they are supposed to evaluate.In this work, we empirically validate a usability evaluation method conceived to assess consistency aspects of a GUI with no need to analyze the back-end. We demonstrate the validity of the approach by means of a comparative experimental study, where four web sites and a stand-alone interactive application are analyzed and the results compared to those of a human-based usability evaluation. The analysis of the results and the statistical correlation between the tool's rating and humans' average ratings show that the proposed methodology can indeed be a useful complement to standard techniques of usability evaluation. © 2014 Elsevier Ltd.",Interactive systems evaluation; Summative usability evaluation; Usability engineering,31,3.26,Q3,Automatic guideline evaluation,Rule-based systems,Source code,no,existing tools usage,desktop
